accepted_name,coevol_name,mean_gs,mean_height,mean_SLA,mean_sm,genus
Eucalyptus_curtisii,E_curtisii,0.92,7,50.01,0.83,Eucalyptus
Eucalyptus_cuspidata,E_cuspidata,NA,NA,22.19,NA,Eucalyptus
Eucalyptus_cyanophylla,E_cyanophylla,1.28,5,26.59,3.1,Eucalyptus
Eucalyptus_cyclostoma,E_cyclostoma,1.28,3,NA,NA,Eucalyptus
Eucalyptus_cylindriflora,E_cylindriflora,1.24,4,NA,1.31,Eucalyptus
Eucalyptus_cylindrocarpa,E_cylindrocarpa,1.35,6,NA,1.9,Eucalyptus
Eucalyptus_cypellocarpa,E_cypellocarpa,1.22,65,39.61,4.69,Eucalyptus
Eucalyptus_dalrympleana,E_dalrympleana,1.19,40,41.33,8.466666667,Eucalyptus
Eucalyptus_dawsonii,E_dawsonii,1.26,20,45.22,0.76,Eucalyptus
Eucalyptus_dealbata,E_dealbata,1.23,20,49.55,2.955,Eucalyptus
Eucalyptus_deanei,E_deanei,1.18,65,53.7,1.29,Eucalyptus
Eucalyptus_decipiens,E_decipiens,1.25,5,35.2,2.77233335,Eucalyptus
Eucalyptus_decolor,E_decolor,1.34,25,55.8,NA,Eucalyptus
Eucalyptus_decorticans,E_decorticans,1.33,40,46.53,2.79,Eucalyptus
Eucalyptus_decurva,E_decurva,NA,3,NA,1.6992,Eucalyptus
Eucalyptus_deflexa,E_deflexa,1.22,3,25,1.438,Eucalyptus
Eucalyptus_delegatensis,E_delegatensis,NA,90,NA,4.92,Eucalyptus
Eucalyptus_delicata,E_delicata,1.26,15,34.89,NA,Eucalyptus
Eucalyptus_dendromorpha,E_dendromorpha,1.19,30,NA,4,Eucalyptus
Eucalyptus_densa,E_densa,1.22,6.5,34.22,0.2933333,Eucalyptus
Eucalyptus_denticulata,E_denticulata,1.19,35,35.93,0.4372,Eucalyptus
Eucalyptus_depauperata,E_depauperata,1.29,4,NA,0.4138,Eucalyptus
Eucalyptus_desmondensis,E_desmondensis,1.21,6,25.14,3.12,Eucalyptus
Eucalyptus_deuaensis,E_deuaensis,1.13,4,31.57,NA,Eucalyptus
Eucalyptus_dielsii,E_dielsii,1.3,8,27.44,1.96,Eucalyptus
