Sample (Bag),accepted_name,species,dry mass (g),dry mass (g),dry mass (g),Area mm2,Area mm2,Area mm2,SLA cm2/g,SLA cm2/g,SLA cm2/g,mean_SLA,CV SLA,Mean Mass,Mean Area,
739,Eucalyptus radiata subsp. sejuncta,Eucalyptus radiata subsp. sejuncta,0.1053,0.1973,0.2497,645,493,1238,61.25,24.99,49.58,45.27,40.89,0.184,792,
740,NA,Eucalyptus fergusonii subsp. fergusonii,0.3601,0.3503,0.5335,1615,1806,2507,44.86,51.56,46.99,47.8,7.17,0.415,1976,
741,NA,Eucalyptus reudderi,0.1197,0.1862,0.2573,757,1274,1847,63.24,68.42,71.78,67.82,6.35,0.188,1293,
742,Eucalyptus perriniana,Eucalyptus perreniana,0.3042,0.5691,0.2345,1414,2336,1230,46.49,41.05,52.44,46.66,12.21,0.369,1660,
743,Eucalyptus resinifera subsp. hemilampra,Eucalyptus resinifera subsp. hemilampra,0.3107,0.2839,0.4022,,1268,1701,,44.66,42.29,43.48,3.86,0.332,1485,
744,Eucalyptus nitida,Eucalyptus nitida,0.2963,0.3025,0.2339,1102,1178,783,37.19,38.94,33.48,36.54,7.64,0.278,1021,
745,Eucalyptus scias subsp. scias,Eucalyptus scias subsp. scias,0.3114,0.2415,0.673,1479,1069,2306,47.48,44.25,34.26,42,16.41,0.409,1618,
746,Eucalyptus tetrapleura,Eucalyptus tetrapleura,0.5854,0.3635,0.4327,2521,1649,1926,43.06,45.36,44.51,44.31,2.62,0.461,2032,
747,Eucalyptus oreades,Eucalyptus oreades,0.4784,1.2545,,1826,4541,,38.17,36.2,,37.18,3.75,0.866,3183,
748,Eucalyptus microcorys,Eucalyptus microcorys,0.1523,0.2428,0.1761,1097,1648,1351,72.03,67.87,76.72,72.21,6.13,0.19,1365,
749,Eucalyptus paniculata,Eucalyptus paniculata,0.6888,0.5814,0.7574,3243,3274,4042,47.08,56.32,53.36,52.25,9.03,0.676,3520,
750,Eucalyptus resinifera subsp. resinifera,Eucalyptus resinifera subsp. resinifera,0.4908,0.8249,0.3689,2373,3906,1317,48.34,47.36,35.71,43.8,16.04,0.562,2532,
751,Eucalyptus resinifera subsp. resinifera,,0.4622,0.591,0.3811,1492,1873,1563,32.27,31.68,41.01,34.99,14.93,0.478,1642,
752,Eucalyptus resinifera subsp. resinifera,,0.3405,0.3919,0.2488,1865,2042,1244,54.76,52.11,50,52.29,4.56,0.327,1717,
753,Eucalyptus resinifera subsp. resinifera,,0.2051,0.0904,0.3196,848,388,1257,41.35,42.92,39.33,41.2,4.37,0.205,831,
754,Eucalyptus resinifera subsp. resinifera,,0.3161,0.2583,0.4179,1577,1168,2103,49.89,45.22,50.32,48.48,5.84,0.331,1616,
755,Eucalyptus resinifera subsp. resinifera,,0.302,0.3222,0.3832,1360,1515,1577,45.03,47.02,41.15,44.4,6.72,0.336,1484,
756,Eucalyptus resinifera subsp. resinifera,,0.526,0.2808,0.5647,2093,1169,2529,39.79,41.63,44.78,42.07,6,0.457,1930,
757,Eucalyptus carnei,Eucalyptus carnei,0.2913,0.4822,0.2983,1039,1387,1044,35.67,28.76,35,33.14,11.49,0.357,1157,
758,NA,Eucalyptus redimulicifera,0.3444,0.1593,0.24,1649,631,1250,47.88,39.61,52.08,46.52,13.64,0.248,1177,
759,Eucalyptus polyanthemos subsp. vestita,Eucalyptus polyathemos subsp.. Vestita,0.6937,0.4006,0.2322,2838,1840,1002,40.91,45.93,43.15,43.33,5.8,0.442,1893,
760,Eucalyptus polybractea,Eucalyptus polybractea,0.2266,0.2115,0.2055,978,924,836,43.16,43.69,40.68,42.51,3.78,0.215,913,
761,Eucalyptus macrorhyncha,Eucalyptus macochyncha subsp.. Macrochyncha,0.5266,0.4386,0.1048,2504,2098,449,47.55,47.83,42.84,46.08,6.08,0.357,1684,
762,Eucalyptus dawsonii,Eucalyptus dawsonii,0.4411,0.3722,0.4441,1818,1885,1945,41.22,50.64,43.8,45.22,10.78,0.419,1883,
763,Eucalyptus tenella,Eucalyptus tenella,0.1765,0.1626,0.1483,710,696,543,40.23,42.8,36.61,39.88,7.8,0.162,650,
764,Eucalyptus dwyeri,Eucalyptus dwyeri _mallee”,0.2771,0.2556,0.2031,1121,978,752,40.47,38.25,37.04,38.59,4.51,0.245,950,
765,Eucalyptus caleyi subsp. Caleyi,Eucalyptus caleyi subsp.. Caleyi,0.293,0.2658,0.4248,1426,1116,1796,48.66,42,42.28,44.31,8.5,0.328,1446,
766,Eucalyptus melliodora,Eucalyptus melliodora,0.295,0.1784,0.3512,1515,932,1694,51.37,52.22,48.24,50.61,4.15,0.275,1380,
767,Eucalyptus viridis subsp. Viridis,Eucalyptus viridis subsp.. Viridis,0.1874,0.19,0.1798,825,654,600,44.02,34.42,33.37,37.27,15.75,0.186,693,
768,Eucalyptus pilligaensis,Eucalyptus pilligaensis,0.2604,0.256,0.211,1045,1094,1035,40.13,42.73,49.05,43.97,10.43,0.242,1058,
769,Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis,0.3657,0.4338,0.3172,1707,2032,1451,46.67,46.83,45.75,46.41,1.26,0.372,1730,
770,Eucalyptus fibrosa subsp. fibrosa,Eucalyptus fibrosa subsp. fibrosa,0.4295,0.4836,0.3412,1859,2365,1729,43.28,48.91,50.67,47.62,8.1,0.418,1984,
771,Eucalyptus fibrosa subsp. fibrosa,Eucalyptus fibrosa subsp. fibrosa,0.3167,0.6842,,1340,2850,,42.32,41.65,,41.99,1.12,0.5,2095,
772,Eucalyptus crebra,Eucalyptus crebra,0.2618,0.1075,0.0991,1232,766,735,47.06,71.26,74.17,64.16,23.19,0.156,911,
773,Eucalyptus argophloia,Eucalyptus argophloia,0.1742,0.1565,0.1928,981,935,1128,56.33,59.75,58.5,58.19,2.97,0.175,1015,
774,Eucalyptus sideroxylon,Eucalyptus sideroxylon,0.312,0.2825,0.2966,1626,1619,1639,52.13,57.31,55.25,54.9,4.76,0.297,1628,
775,Eucalyptus dura,Eucalyptus dura,0.4288,0.2806,0.4138,1685,1217,1700,39.3,43.37,41.09,41.26,4.94,0.374,1534,
776,Eucalyptus cambageana,Eucalyptus cambageana,0.554,0.4894,0.5239,2619,2175,2414,47.27,44.44,46.08,45.93,3.09,0.522,2403,
