Sample (Bag),accepted_name,species,dry mass (g),dry mass (g),dry mass (g),Area mm2,Area mm2,Area mm2,SLA cm2/g,SLA cm2/g,SLA cm2/g,mean_SLA,CV SLA,Mean Mass,Mean Area,
142,Eucalyptus fibrosa,Eucalyptus fibrosa,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
143,NA,Eucalyptus panic,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
144,NA,Eucalyptus sideroph,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
145,NA,Eucalyptus leucox,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
146,NA,Eucalyptus popul,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
147,Eucalyptus fusiformis,Eucalyptus fusiformis,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
148,Eucalyptus ancophila,Eucalyptus ancophila,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
149,NA,Eucalyptus argadophil,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
150,Eucalyptus sieberi,Eucalyptus sieberi,0.9591,0.7017,0.819,2502,1849,2149,26.08,26.36,26.24,26.23,0.53,0.827,2167,
151,Eucalyptus deuaensis,Eucalyptus deuaensis,0.3109,0.2847,0.1187,953,930,373,30.67,32.66,31.39,31.57,3.19,0.238,752,
152,Eucalyptus kartzoffiana,Eucalyptus kartzoffiana,0.7461,0.4925,0.5206,2938,2015,2100,39.37,40.91,40.33,40.2,1.93,0.586,2351,
153,Eucalyptus macrandra,Eucalyptus macrandra,0.5373,0.5139,1.0001,1683,1501,3160,31.32,29.22,31.6,30.71,4.24,0.684,2115,
